id,latitude,longitude,scientific,university
11150442,25.01692044,121.5399027,Magnoliopsida,NTU
11150443,25.01691493,121.540997,Casuarina,NTU
11150444,25.01633159,121.5388083,Pilea peploides,NTU
11150447,25.01526213,121.5393662,Ficus,NTU
11257827,25.01844683,121.536212,Pica serica,NTU
11323811,25.0167399,121.5388216,Urocissa caerulea,NTU
11324232,25.016597,121.539557,Dicrurus macrocercus,NTU
11324236,25.018811,121.543159,Gorsachius melanolophus,NTU
11324239,25.016201,121.539671,Psilopogon nuchalis,NTU
11356257,25.0169195,121.5338967,Cleome houtteana,NTU
11396282,25.01686117,121.5405883,Alcea rosea,NTU
11445159,25.0170305,121.5382617,Stenotaphrum secundatum,NTU
11718024,25.0170084,121.5340529,Cleome houtteana,NTU
11718554,25.01800956,121.5376017,Sphagneticola trilobata,NTU
12233208,25.01599682,121.540482,Nyctemera formosana,NTU
12233513,25.01604543,121.5404606,Euploea tulliolus koxinga,NTU
12233597,25.01585098,121.5404499,Gracupica nigricollis,NTU
12349304,25.01646349,121.5402353,Dendrocitta formosae,NTU
12349306,25.01590203,121.5390337,Brugmansia,NTU
12349307,25.01705655,121.537081,Psilopogon nuchalis,NTU
12349309,25.01628849,121.5399885,Pycnonotus sinensis formosae,NTU
12349310,25.01566626,121.5385401,Dicrurus macrocercus,NTU
12349311,25.01547181,121.5380681,Copsychus saularis,NTU
12368498,25.01846791,121.5417688,Caesalpinioideae,NTU
12368503,25.01846027,121.5415474,Nandina domestica,NTU
12368519,25.01844989,121.5413787,Ixora,NTU
12368534,25.0184369,121.5411822,Terminalia mantaly,NTU
12368536,25.0184282,121.5409105,Liquidambar formosana,NTU
12368542,25.0184238,121.5407741,Heptapleurum arboricola,NTU
12368556,25.01843161,121.5405156,Plantae,NTU
12368566,25.01847502,121.5402846,Cordyline fruticosa,NTU
12368575,25.0183474,121.5401818,Alocasia odora,NTU
12368890,25.01780808,121.5401292,Nicotiana plumbaginifolia,NTU
